     72 Feronia           -           8.79  0.      79.30  0.0856 - -                  8.097      - 0.11 0.15 3  -     Y - - -
     73 Klytia            -           8.90  0.15    44.63  0.2442 - -                  8.297      - 0.26 0.35 3  -     Y - - -
     74 Galatea           -           8.66  0.15   118.71  0.0431 - -                 17.268      - 0.08 0.16 3  -     - - - -
     75 Eurydike          -           8.97  0.23    68.58  0.097  - -                  5.357      - 0.10 0.15 3  -     Y - - -
     76 Freia             -           7.86  0.07   158.4   0.0503 - -                  9.973      - 0.05 0.33 3  -     Y - - -
     77 Frigga            -           8.52  0.16    67.18  0.1527 - -                  9.012      - 0.07 0.20 3  -     Y - - -
     78 Diana             -           8.02  0.08   120.60  0.0706 - -                  7.2991     - 0.02 0.30 3  -     - - - -
     79 Eurynome          -           7.96  0.25    66.47  0.2618 - -                  5.978      - 0.05 0.25 3  -     Y - - -
     80 Sappho            -           7.98  0.15    67.    0.2528 - -                 14.030      - 0.1  0.40 3  -     Y - - -
     81 Terpsichore       -           8.48  0.15   119.08  0.0505 - -                 10.943      - 0.06 0.10 3  -     - - - -
     82 Alkmene           -           8.40  0.28    60.96  0.2075 - -                 12.999      - 0.18 0.54 3  -     Y - - -
     83 Beatrix           -           8.66  0.15    81.37  0.0917 - -                 10.16       - 0.06 0.27 3  -     Y - - -
     84 Klio              -           9.32  0.15    79.16  0.0527 - -                 23.562      - 0.04 0.21 3  -     - - - -
     85 Io                -           7.56  0.15   163.    0.0629 - -                  6.875      - 0.05 0.18 3  -     Y - - -
     86 Semele            -           8.54  0.15   120.56  0.0466 - -                 16.634      - 0.09 0.18 3  -     - - - -
     87 Sylvia            -           6.94  0.15   260.94  0.0435 - -                  5.184      - 0.22 0.62 3  -     Y M - -
     88 Thisbe            -           7.03  0.09   204.    0.0648 - -                  6.042      - 0.08 0.25 3  -     Y - - -
     89 Julia             -           6.60  0.15   140.    0.2064 - -                 11.387      - 0.10 0.25 3  -     Y - - -
     90 Antiope           -           8.27  0.15   120.07  0.0603 - -                 16.509      - 0.08 0.90 3  -     Y B - -
     91 Aegina            -           8.84  0.15   109.81  0.0426 - -                  6.025      - 0.12 0.27 3  -     - - - -
     92 Undina            -           6.61  0.15   126.42  0.2509 - -                 15.941      - 0.16 0.20 3  -     Y - - -
     93 Minerva           -           7.50 -0.006  154.    0.0745 - -                  5.982      - 0.03 0.20 3  -     Y M - -
     94 Aurora            -           7.59  0.15   168.88  0.057  - -                  7.22       - 0.03 0.18 3  -     Y - - -
     95 Arethusa          -           8.0   0.15   135.78  0.0604 - -                  8.705      - 0.24 0.35 3  -     Y - - -
     96 Aegle             -           7.65  0.09   162.85  0.058  - -                 13.82       - 0.05 0.29 3  -     - - - -
     97 Klotho            -           7.74  0.15    82.81  0.2065 - -                 35.15       - 0.07 0.3  3  -     Y - - -
     98 Ianthe            -           8.84  0.15   104.45  0.0471 - -                 16.479      - 0.27 0.34 3  -     Y - - -
     99 Dike              -           9.35  0.09    71.28  0.0633 - -                 18.127      - 0.08 0.22 3  -     Y - - -
    100 Hekate            -           7.67  0.15    88.66  0.1922 - -                 27.066      - 0.11 0.23 3  -     - - - -
    101 Helena            -           8.33  0.32    65.84  0.1898 - -                 23.080      - 0.09 0.13 3  -     - - - -
    102 Miriam            -           9.3   0.09    86.93  0.0445 - -                 23.613      - 0.04 0.14 3  -     - - - -
    103 Hera              -           7.66  0.15    91.20  0.1833 - -                 23.740      - 0.35 0.45 3  -     Y - - -
    104 Klymene           -           8.27  0.15   123.68  0.0568 - -                  8.984      - 0.26 0.3  3  -     Y - - -
    105 Artemis           -           8.57  0.1    119.08  0.0465 S -                 37.15506    - 0.03 0.17 3  -     Y - - -
    106 Dione             -           7.41  0.09   146.59  0.0893 - -                 16.26       - -.99 0.08 3  -     - - - -
    107 Camilla           -           7.1   0.09   219.38  0.053  - -                  4.844      - 0.32 0.53 3  -     Y B - -
    108 Hecuba            -           8.09  0.15    64.97  0.2431 - -                 14.256      - 0.05 0.2  3  -     Y - - -
